"TRAN_NUMBER","STOCK_CODE","TYPE","DATE","REFERENCE","REFERENCE_NUMERIC","DETAILS","QUANTITY","COST_PRICE","SALES_PRICE","QTY_USED","ISP_REFERENCE","ARTEFACT_TYPE","GDN_NUMBER","GRN_NUMBER","RECORD_CREATE_DATE","RECORD_MODIFY_DATE","RECORD_DELETED","CUMULATIVE_QUANTITY"
97583,"CAP02930293251T","GI","2020-04-28","7075",7075,"Goods In",5198.4123,0.3777,0,5198.4123,7075,3,0,8003,"2020-04-28 12:06:09","2021-02-02 19:54:58",0,5198.4123
97614,"CAP02930293251T","MO","2020-04-28","B4765",0,"VX051OR012003000T090",-62.993700000000004,0.3777,0,0,0,0,0,0,"2020-04-28 15:08:35","2021-02-02 19:54:58",0,5135.4186
97627,"CAP02930293251T","MO","2020-04-29","B4766",0,"VX051OR012003000T090",-55.994400000000006,0.3777,0,0,0,0,0,0,"2020-04-29 08:37:27","2021-02-02 19:54:58",0,5079.4242
97661,"CAP02930293251T","MO","2020-04-29","B4767",0,"VX051OR012003000T090",-62.993700000000004,0.3777,0,0,0,0,0,0,"2020-04-29 15:50:37","2021-02-02 19:54:58",0,5016.4305
97671,"CAP02930293251T","MO","2020-04-30","B4768",0,"VX051OR012003000T090",-55.994400000000006,0.3777,0,0,0,0,0,0,"2020-04-30 08:09:58","2021-02-02 19:54:58",0,4960.436100000001
97750,"CAP02930293251T","MO","2020-04-30","B4780",0,"VX051OR012003000T090",-62.993700000000004,0.3777,0,0,0,0,0,0,"2020-04-30 15:29:41","2021-02-02 19:54:58",0,4897.442400000001
97859,"CAP02930293251T","MO","2020-05-01","B4782",0,"VX051SL012003000EB090",-44.99550000000001,0.3777,0,0,0,0,0,0,"2020-05-01 08:45:18","2021-02-02 19:54:58",0,4852.446900000001
97864,"CAP02930293251T","MO","2020-05-01","B4781",0,"VX051OR012003000T090",-62.993700000000004,0.3777,0,0,0,0,0,0,"2020-05-01 08:45:42","2021-02-02 19:54:58",0,4789.453200000001
97972,"CAP02930293251T","MO","2020-05-04","B4783",0,"VX051GL012003000EB110",-29.6637,0.3777,0,0,0,0,0,0,"2020-05-04 07:12:11","2021-02-02 19:54:58",0,4759.789500000001
98619,"CAP02930293251T","MO","2020-05-06","B4661",0,"VX051OR012003000",-54.994499999999995,0.3777,0,0,0,0,0,0,"2020-05-06 07:37:10","2021-02-02 19:54:58",0,4704.795000000001
98672,"CAP02930293251T","MO","2020-05-06","B4785",0,"VX050WH012003000EB090",-62.993700000000004,0.3777,0,0,0,0,0,0,"2020-05-06 15:11:16","2021-02-02 19:54:58",0,4641.801300000001
98689,"CAP02930293251T","MO","2020-05-07","B4786",0,"VX050WH012003000EB090",-62.993700000000004,0.3777,0,0,0,0,0,0,"2020-05-07 08:00:05","2021-02-02 19:54:58",0,4578.807600000001
99443,"CAP02930293251T","MO","2020-05-11","B4787",0,"VX050WH012003000EB090",-62.6604,0.3777,0,0,0,0,0,0,"2020-05-11 06:25:53","2021-02-02 19:54:58",0,4516.147200000001
99532,"CAP02930293251T","MO","2020-05-12","B4789",0,"VX050WH012003000EB090",-62.993700000000004,0.3777,0,0,0,0,0,0,"2020-05-12 06:42:42","2021-02-02 19:54:58",0,4453.153500000001
99600,"CAP02930293251T","MO","2020-05-13","B4788",0,"VX050WH012003000EB090",-69.99300000000001,0.3777,0,0,0,0,0,0,"2020-05-13 07:08:27","2021-02-02 19:54:58",0,4383.160500000001
99700,"CAP02930293251T","MO","2020-05-15","B4794",0,"VX050WH012003000",-83.99159999999999,0.3777,0,0,0,0,0,0,"2020-05-15 07:16:40","2021-02-02 19:54:58",0,4299.168900000001
99734,"CAP02930293251T","MO","2020-05-18","B4795",0,"VX050WH012003000",-69.99300000000001,0.3777,0,0,0,0,0,0,"2020-05-18 06:34:15","2021-02-02 19:54:58",0,4229.1759
99795,"CAP02930293251T","MO","2020-05-19","B4797",0,"VX051YL012003000",-62.993700000000004,0.3777,0,0,0,0,0,0,"2020-05-19 07:26:41","2021-02-02 19:54:58",0,4166.1822
99830,"CAP02930293251T","MO","2020-05-19","B4798",0,"VX051YL012003000",-62.993700000000004,0.3777,0,0,0,0,0,0,"2020-05-19 14:12:30","2021-02-02 19:54:58",0,4103.1885
99953,"CAP02930293251T","MO","2020-05-26","B4801",0,"VX051RD012003000",-54.994499999999995,0.3777,0,0,0,0,0,0,"2020-05-26 05:51:49","2021-02-02 19:54:58",0,4048.1940000000004
99974,"CAP02930293251T","MO","2020-05-27","B4801",0,"VX051RD012003000",-20.3313,0.3777,0,0,0,0,0,0,"2020-05-27 05:12:12","2021-02-02 19:54:58",0,4027.8627000000006
100318,"CAP02930293251T","MO","2020-06-04","B4784",0,"VX051YL012003000EB110",-69.99300000000001,0.3777,0,0,0,0,0,0,"2020-06-04 07:14:47","2021-02-02 19:54:58",0,3957.8697000000006
102018,"CAP02930293251T","MO","2020-06-22","B4744",0,"VX051YL012003000EB110",-94.9905,0.3777,0,0,0,0,0,0,"2020-06-22 06:41:14","2021-02-02 19:54:58",0,3862.8792000000008
